hla1,hla2,sim
DQA1_0101__DQB1_0501,DQA1_0505__DQB1_0301,0.429
DQA1_0501__DQB1_0202,DQA1_0501__DQB1_0501,0.379
DQA1_0201__DQB1_0303,DQA1_0401__DQB1_0402,0.379
DQA1_0301__DQB1_0303,DQA1_0503__DQB1_0301,0.412
DQA1_0101__DQB1_0602,DQA1_0201__DQB1_0302,0.332
DRA_0101__DRB1_0102,DRA_0101__DRB1_1104,0.272
DRA_0101__DRB1_0102,DRA_0101__DRB1_0801,0.232
DRA_0101__DRB1_0404,DRA_0101__DRB1_0407,0.0
DRA_0101__DRB1_0101,DRA_0101__DRB1_1407,0.245
A__01_01,A__11_01,0.141
DQA1_0102__DQB1_0604,DQA1_0601__DQB1_0301,0.431
B__44_05,C__06_02,0.56
DRA_0101__DRB1_0103,DRA_0101__DRB1_1406,0.307
DRA_0101__DRB1_0411,DRA_0101__DRB1_1301,0.41
DRA_0101__DRB1_0901,DRA_0101__DRB1_1302,0.583
DRA_0101__DRB1_0401,DRA_0101__DRB1_1104,0.344
DRA_0101__DRB1_0803,DRA_0101__DRB1_1407,0.253
DQA1_0201__DQB1_0303,DQA1_0301__DQB1_0303,0.283
DRA_0101__DRB1_0101,DRA_0101__DRB1_0901,0.415
DRA_0101__DRB1_1402,DRA_0101__DRB1_1502,0.19
DQA1_0102__DQB1_0602,DQA1_0501__DQB1_0501,0.344
DRA_0101__DRB1_0411,DRA_0101__DRB1_1407,0.303
DQA1_0102__DQB1_0302,DQA1_0501__DQB1_0501,0.338
DRA_0101__DRB1_1402,DRA_0101__DRB1_1601,0.214
DQA1_0501__DQB1_0202,DQA1_0601__DQB1_0301,0.405
DRA_0101__DRB1_0801,DRA_0101__DRB1_1601,0.228
DQA1_0102__DQB1_0302,DQA1_0102__DQB1_0609,0.253
DQA1_0102__DQB1_0604,DQA1_0401__DQB1_0402,0.523
DQA1_0101__DQB1_0201,DQA1_0301__DQB1_0502,0.486
DQA1_0102__DQB1_0502,DQA1_0103__DQB1_0601,0.214
DRA_0101__DRB1_0103,DRA_0101__DRB1_0801,0.261
DQA1_0301__DQB1_0301,DQA1_0501__DQB1_0301,0.346
DQA1_0101__DQB1_0502,DQA1_0501__DQB1_0301,0.427
DQA1_0103__DQB1_0601,DQA1_0301__DQB1_0303,0.438
DQA1_0301__DQB1_0302,DQA1_0301__DQB1_0303,0.077
DRA_0101__DRB1_0403,DRA_0101__DRB1_1202,0.344
DQA1_0101__DQB1_0501,DQA1_0102__DQB1_0602,0.2
DQA1_0101__DQB1_0503,DQA1_0102__DQB1_0609,0.195
DRA_0101__DRB1_1401,DRA_0101__DRB1_1407,0.0
B__57_01,C__07_02,0.573
DQA1_0101__DQB1_0602,DQA1_0201__DQB1_0202,0.452
DRA_0101__DRB1_0401,DRA_0101__DRB1_1502,0.293
DRA_0101__DRB1_1101,DRA_0101__DRB1_1302,0.155
A__26_01,C__16_01,0.475
DRA_0101__DRB1_0803,DRA_0101__DRB1_1402,0.173
A__30_01,B__44_05,0.438
DRA_0101__DRB1_1103,DRA_0101__DRB1_1601,0.29
DRA_0101__DRB1_1301,DRA_0101__DRB1_1302,0.0
B__35_02,C__07_02,0.49
DRA_0101__DRB1_0408,DRA_0101__DRB1_0701,0.224
DRA_0101__DRB1_0101,DRA_0101__DRB1_0701,0.268
DRA_0101__DRB1_0103,DRA_0101__DRB1_1104,0.265
DQA1_0301__DQB1_0303,DQA1_0501__DQB1_0201,0.417
DQA1_0501__DQB1_0201,DQA1_0501__DQB1_0301,0.257
A__33_01,B__35_08,0.332
DRA_0101__DRB1_0407,DRA_0101__DRB1_1601,0.316
B__27_06,C__03_06,0.762
A__29_02,C__14_02,0.475
DQA1_0501__DQB1_0301,DQA1_0501__DQB1_0501,0.344
DRA_0101__DRB1_0103,DRA_0101__DRB1_1202,0.249
DRA_0101__DRB1_0103,DRA_0101__DRB1_0803,0.265
DRA_0101__DRB1_1103,DRA_0101__DRB1_1401,0.352
A__34_01,A__74_03,0.436
C__12_02,C__17_01,0.463
DQA1_0101__DQB1_0602,DQA1_0601__DQB1_0301,0.392
DQA1_0101__DQB1_0602,DQA1_0501__DQB1_0301,0.422
DRA_0101__DRB1_0403,DRA_0101__DRB1_1502,0.316
A__32_01,B__07_02,0.424
DQA1_0302__DQB1_0301,DQA1_0505__DQB1_0301,0.349
DQA1_0302__DQB1_0301,DQA1_0401__DQB1_0402,0.463
DQA1_0102__DQB1_0602,DQA1_0401__DQB1_0402,0.392
DRA_0101__DRB1_0803,DRA_0101__DRB1_1301,0.167
B__39_05,B__51_01,0.184
DQA1_0102__DQB1_0502,DQA1_0301__DQB1_0302,0.395
DQA1_0101__DQB1_0501,DQA1_0501__DQB1_0202,0.465
B__41_02,C__08_01,0.677
DQA1_0301__DQB1_0502,DQA1_0401__DQB1_0402,0.465
DRA_0101__DRB1_0407,DRA_0101__DRB1_0802,0.358
DQA1_0103__DQB1_0603,DQA1_0301__DQB1_0303,0.422
DRA_0101__DRB1_0403,DRA_0101__DRB1_1601,0.316
DQA1_0102__DQB1_0602,DQA1_0301__DQB1_0502,0.429
DQA1_0201__DQB1_0202,DQA1_0301__DQB1_0303,0.349
DRA_0101__DRB1_0701,DRA_0101__DRB1_0901,0.379
DRA_0101__DRB1_0403,DRA_0101__DRB1_1301,0.374
DQA1_0102__DQB1_0302,DQA1_0503__DQB1_0301,0.344
DRA_0101__DRB1_0408,DRA_0101__DRB1_1303,0.344
DRA_0101__DRB1_0408,DRA_0101__DRB1_1103,0.407
A__30_02,C__03_03,0.595
DRA_0101__DRB1_1202,DRA_0101__DRB1_1402,0.141
DRA_0101__DRB1_1103,DRA_0101__DRB1_1502,0.272
B__35_01,B__52_01,0.167
A__74_01,C__03_04,0.623
DRA_0101__DRB1_0301,DRA_0101__DRB1_0701,0.349
DQA1_0101__DQB1_0602,DQA1_0102__DQB1_0604,0.241
B__27_06,B__35_08,0.512
DRA_0101__DRB1_0301,DRA_0101__DRB1_0802,0.21
B__40_02,C__03_06,0.683
DQA1_0301__DQB1_0301,DQA1_0401__DQB1_0402,0.463
A__29_02,B__08_01,0.326
DRA_0101__DRB1_0101,DRA_0101__DRB1_1301,0.249
B__27_05,C__02_02,0.621
B__14_02,B__57_01,0.253
DQA1_0103__DQB1_0601,DQA1_0501__DQB1_0301,0.39
DRA_0101__DRB1_1302,DRA_0101__DRB1_1402,0.179
A__24_03,C__15_02,0.613
DRA_0101__DRB1_0103,DRA_0101__DRB1_0411,0.42
A__24_03,B__44_03,0.557
B__40_01,C__07_02,0.629
DRA_0101__DRB1_0404,DRA_0101__DRB1_1301,0.377
DQA1_0101__DQB1_0503,DQA1_0501__DQB1_0301,0.4
DQA1_0101__DQB1_0503,DQA1_0102__DQB1_0502,0.1
DQA1_0103__DQB1_0601,DQA1_0201__DQB1_0302,0.349
DQA1_0103__DQB1_0601,DQA1_0503__DQB1_0301,0.395
B__08_01,C__14_02,0.5
DRA_0101__DRB1_0301,DRA_0101__DRB1_1502,0.195
DQA1_0301__DQB1_0502,DQA1_0503__DQB1_0301,0.492
C__01_02,C__07_01,0.382
DQA1_0101__DQB1_0201,DQA1_0201__DQB1_0202,0.3
A__24_02,B__56_01,0.51
DRA_0101__DRB1_1001,DRA_0101__DRB1_1502,0.249
DRA_0101__DRB1_0103,DRA_0101__DRB1_0301,0.344
DQA1_0102__DQB1_0609,DQA1_0301__DQB1_0303,0.471
DQA1_0101__DQB1_0501,DQA1_0301__DQB1_0303,0.422
DQA1_0301__DQB1_0303,DQA1_0505__DQB1_0301,0.41
DQA1_0101__DQB1_0502,DQA1_0503__DQB1_0301,0.431
DRA_0101__DRB1_0802,DRA_0101__DRB1_1202,0.134
DQA1_0101__DQB1_0503,DQA1_0103__DQB1_0601,0.19
DRA_0101__DRB1_1301,DRA_0101__DRB1_1407,0.31
DRA_0101__DRB1_0802,DRA_0101__DRB1_1201,0.134
DQA1_0101__DQB1_0501,DQA1_0102__DQB1_0604,0.148
A__25_01,C__04_01,0.539
DRA_0101__DRB1_1101,DRA_0101__DRB1_1104,0.0
DQA1_0101__DQB1_0502,DQA1_0501__DQB1_0501,0.279
DRA_0101__DRB1_0407,DRA_0101__DRB1_1001,0.322
A__25_01,B__40_02,0.634
A__29_01,C__17_01,0.574
DRA_0101__DRB1_1402,DRA_0101__DRB1_1407,0.173
A__30_01,C__01_02,0.551
DQA1_0103__DQB1_0601,DQA1_0501__DQB1_0202,0.516
A__24_03,C__08_02,0.733
DRA_0101__DRB1_0301,DRA_0101__DRB1_0404,0.283
DQA1_0102__DQB1_0602,DQA1_0103__DQB1_0603,0.045
DRA_0101__DRB1_0103,DRA_0101__DRB1_1301,0.179
A__74_03,B__35_01,0.377
DRA_0101__DRB1_0403,DRA_0101__DRB1_0407,0.0
DQA1_0101__DQB1_0503,DQA1_0302__DQB1_0301,0.417
A__34_01,B__40_02,0.587
DRA_0101__DRB1_0801,DRA_0101__DRB1_1502,0.219
B__27_06,B__55_01,0.427
C__06_02,C__14_02,0.205
DRA_0101__DRB1_0411,DRA_0101__DRB1_1402,0.332
A__02_01,B__15_16,0.46
DRA_0101__DRB1_0408,DRA_0101__DRB1_1402,0.307
B__15_03,B__44_03,0.29
C__03_03,C__07_04,0.417
DQA1_0102__DQB1_0604,DQA1_0201__DQB1_0202,0.469
DRA_0101__DRB1_1001,DRA_0101__DRB1_1302,0.39
DQA1_0102__DQB1_0302,DQA1_0201__DQB1_0302,0.249
DQA1_0101__DQB1_0602,DQA1_0501__DQB1_0202,0.518
DRA_0101__DRB1_1303,DRA_0101__DRB1_1501,0.21
DRA_0101__DRB1_0802,DRA_0101__DRB1_1103,0.179
DQA1_0201__DQB1_0302,DQA1_0505__DQB1_0301,0.412
A__30_02,B__27_05,0.471
DRA_0101__DRB1_0404,DRA_0101__DRB1_0701,0.219
DQA1_0102__DQB1_0604,DQA1_0301__DQB1_0301,0.484
DQA1_0101__DQB1_0501,DQA1_0302__DQB1_0301,0.445
DQA1_0102__DQB1_0604,DQA1_0102__DQB1_0609,0.045
DQA1_0301__DQB1_0301,DQA1_0301__DQB1_0302,0.205
DQA1_0101__DQB1_0201,DQA1_0101__DQB1_0501,0.31
DRA_0101__DRB1_0803,DRA_0101__DRB1_1104,0.219
DRA_0101__DRB1_0403,DRA_0101__DRB1_0701,0.219
B__07_02,C__16_01,0.602
DQA1_0101__DQB1_0502,DQA1_0101__DQB1_0503,0.1
DRA_0101__DRB1_0102,DRA_0101__DRB1_1201,0.224
DRA_0101__DRB1_1502,DRA_0101__DRB1_1601,0.089
DQA1_0103__DQB1_0603,DQA1_0401__DQB1_0402,0.392
A__02_01,C__05_01,0.671
DQA1_0102__DQB1_0302,DQA1_0103__DQB1_0601,0.279
DRA_0101__DRB1_0404,DRA_0101__DRB1_1201,0.344
A__30_01,C__17_01,0.62
DQA1_0101__DQB1_0501,DQA1_0501__DQB1_0201,0.434
B__44_02,C__01_02,0.567
DRA_0101__DRB1_0803,DRA_0101__DRB1_1101,0.219
DQA1_0102__DQB1_0609,DQA1_0601__DQB1_0301,0.436
B__35_03,B__48_01,0.377
C__04_01,C__08_02,0.41
A__24_02,B__08_01,0.458
DQA1_0301__DQB1_0303,DQA1_0501__DQB1_0501,0.436
DRA_0101__DRB1_0404,DRA_0101__DRB1_1406,0.303
A__24_03,B__56_01,0.51
DRA_0101__DRB1_0411,DRA_0101__DRB1_1101,0.429
DRA_0101__DRB1_0404,DRA_0101__DRB1_1103,0.405
DQA1_0102__DQB1_0602,DQA1_0301__DQB1_0301,0.452
A__25_01,C__08_01,0.567
DRA_0101__DRB1_0404,DRA_0101__DRB1_1407,0.307
A__29_02,C__08_01,0.571
DRA_0101__DRB1_1406,DRA_0101__DRB1_1601,0.214
B__07_02,B__27_05,0.349
DRA_0101__DRB1_0404,DRA_0101__DRB1_0901,0.286
DRA_0101__DRB1_0301,DRA_0101__DRB1_0408,0.283
DRA_0101__DRB1_0102,DRA_0101__DRB1_0408,0.214
DQA1_0102__DQB1_0502,DQA1_0601__DQB1_0301,0.4
DQA1_0301__DQB1_0502,DQA1_0601__DQB1_0301,0.385
DQA1_0101__DQB1_0201,DQA1_0102__DQB1_0602,0.377
DQA1_0101__DQB1_0501,DQA1_0101__DQB1_0602,0.2
DRA_0101__DRB1_1303,DRA_0101__DRB1_1601,0.219
DRA_0101__DRB1_0103,DRA_0101__DRB1_1001,0.454
A__68_01,B__18_01,0.48
DQA1_0201__DQB1_0202,DQA1_0501__DQB1_0201,0.39
B__15_15,C__05_01,0.663
DQA1_0101__DQB1_0502,DQA1_0103__DQB1_0603,0.205
B__35_01,C__08_01,0.531
DRA_0101__DRB1_0401,DRA_0101__DRB1_0411,0.134
DQA1_0102__DQB1_0302,DQA1_0501__DQB1_0301,0.338
DRA_0101__DRB1_0103,DRA_0101__DRB1_0408,0.382
DQA1_0101__DQB1_0201,DQA1_0101__DQB1_0502,0.313
DRA_0101__DRB1_0407,DRA_0101__DRB1_1101,0.387
DQA1_0301__DQB1_0303,DQA1_0301__DQB1_0502,0.224
DQA1_0102__DQB1_0604,DQA1_0505__DQB1_0301,0.456
DQA1_0301__DQB1_0302,DQA1_0501__DQB1_0301,0.415
DRA_0101__DRB1_1103,DRA_0101__DRB1_1201,0.195
A__02_01,B__27_05,0.581
DQA1_0101__DQB1_0201,DQA1_0501__DQB1_0501,0.424
A__26_01,C__12_03,0.475
DRA_0101__DRB1_0701,DRA_0101__DRB1_1402,0.335
A__34_01,C__07_01,0.502
DRA_0101__DRB1_0411,DRA_0101__DRB1_1202,0.361
B__18_01,B__35_03,0.195
A__29_01,C__12_03,0.463
B__44_05,B__55_01,0.313
DQA1_0301__DQB1_0303,DQA1_0601__DQB1_0301,0.297
DRA_0101__DRB1_1406,DRA_0101__DRB1_1502,0.19
DQA1_0101__DQB1_0201,DQA1_0102__DQB1_0502,0.313
DRA_0101__DRB1_0103,DRA_0101__DRB1_1201,0.245
DRA_0101__DRB1_0801,DRA_0101__DRB1_1202,0.11
DQA1_0103__DQB1_0601,DQA1_0201__DQB1_0202,0.449
C__07_02,C__12_03,0.241
DQA1_0102__DQB1_0602,DQA1_0201__DQB1_0202,0.452
DRA_0101__DRB1_0401,DRA_0101__DRB1_1301,0.329
A__26_01,C__08_01,0.553
B__48_01,B__57_01,0.329
B__27_02,C__15_02,0.626
DRA_0101__DRB1_1202,DRA_0101__DRB1_1501,0.214
DQA1_0102__DQB1_0609,DQA1_0301__DQB1_0301,0.488
DQA1_0101__DQB1_0201,DQA1_0501__DQB1_0202,0.335
DQA1_0101__DQB1_0502,DQA1_0302__DQB1_0301,0.449
B__39_05,B__55_01,0.134
DRA_0101__DRB1_0301,DRA_0101__DRB1_1302,0.228
DRA_0101__DRB1_0404,DRA_0101__DRB1_0408,0.0
DQA1_0301__DQB1_0301,DQA1_0301__DQB1_0303,0.184
DRA_0101__DRB1_0411,DRA_0101__DRB1_0802,0.39
DRA_0101__DRB1_0901,DRA_0101__DRB1_1402,0.49
B__44_03,C__12_02,0.548
DRA_0101__DRB1_0103,DRA_0101__DRB1_1502,0.3
A__01_01,B__07_05,0.473
DQA1_0102__DQB1_0602,DQA1_0501__DQB1_0201,0.488
DQA1_0101__DQB1_0602,DQA1_0501__DQB1_0201,0.488
DRA_0101__DRB1_0301,DRA_0101__DRB1_1601,0.21
A__01_01,C__07_01,0.456
B__15_15,C__14_02,0.496
DQA1_0103__DQB1_0603,DQA1_0501__DQB1_0202,0.518
B__08_01,B__15_16,0.329
DRA_0101__DRB1_0103,DRA_0101__DRB1_0802,0.245
DRA_0101__DRB1_0701,DRA_0101__DRB1_1104,0.361
DQA1_0102__DQB1_0502,DQA1_0301__DQB1_0303,0.422
DRA_0101__DRB1_0404,DRA_0101__DRB1_0801,0.341
DQA1_0102__DQB1_0502,DQA1_0201__DQB1_0302,0.329
DRA_0101__DRB1_0401,DRA_0101__DRB1_1601,0.3
DQA1_0101__DQB1_0602,DQA1_0201__DQB1_0303,0.335
B__35_02,C__14_02,0.424
DRA_0101__DRB1_0701,DRA_0101__DRB1_0802,0.338
DQA1_0201__DQB1_0202,DQA1_0501__DQB1_0202,0.361
A__33_01,B__56_01,0.329
DQA1_0102__DQB1_0609,DQA1_0201__DQB1_0302,0.366
DRA_0101__DRB1_0301,DRA_0101__DRB1_1406,0.077
DQA1_0201__DQB1_0303,DQA1_0501__DQB1_0202,0.471
A__02_01,C__15_02,0.546
DRA_0101__DRB1_0403,DRA_0101__DRB1_1402,0.303
DRA_0101__DRB1_0801,DRA_0101__DRB1_1407,0.249
A__32_01,B__35_08,0.397
DRA_0101__DRB1_1401,DRA_0101__DRB1_1502,0.265
DQA1_0101__DQB1_0201,DQA1_0503__DQB1_0301,0.379
A__29_01,C__03_03,0.551
A__03_01,A__68_02,0.424
DQA1_0101__DQB1_0501,DQA1_0101__DQB1_0502,0.045
DQA1_0302__DQB1_0301,DQA1_0501__DQB1_0501,0.471
B__07_05,B__40_02,0.283
DQA1_0101__DQB1_0501,DQA1_0501__DQB1_0501,0.279
DRA_0101__DRB1_1101,DRA_0101__DRB1_1502,0.265
DRA_0101__DRB1_0101,DRA_0101__DRB1_0407,0.21
A__11_01,B__44_04,0.46
DQA1_0101__DQB1_0503,DQA1_0201__DQB1_0303,0.322
A__01_01,A__24_02,0.42
DQA1_0201__DQB1_0202,DQA1_0201__DQB1_0302,0.261
DRA_0101__DRB1_0101,DRA_0101__DRB1_1302,0.249
DQA1_0101__DQB1_0201,DQA1_0401__DQB1_0402,0.576
B__15_03,B__41_02,0.332
A__30_02,C__02_02,0.557
DQA1_0102__DQB1_0604,DQA1_0302__DQB1_0301,0.484
DQA1_0103__DQB1_0603,DQA1_0501__DQB1_0301,0.427
DRA_0101__DRB1_1201,DRA_0101__DRB1_1502,0.224
B__35_01,B__44_03,0.313
DRA_0101__DRB1_0102,DRA_0101__DRB1_0301,0.179
B__35_03,C__03_06,0.535
DRA_0101__DRB1_0301,DRA_0101__DRB1_1402,0.077
A__26_01,A__30_01,0.465
DRA_0101__DRB1_0103,DRA_0101__DRB1_1101,0.265
DQA1_0102__DQB1_0302,DQA1_0501__DQB1_0201,0.338
A__74_01,A__74_03,0.077
DQA1_0101__DQB1_0501,DQA1_0102__DQB1_0302,0.21
DRA_0101__DRB1_0803,DRA_0101__DRB1_1406,0.179
DRA_0101__DRB1_0802,DRA_0101__DRB1_1601,0.237
DRA_0101__DRB1_0102,DRA_0101__DRB1_1406,0.179
DQA1_0301__DQB1_0502,DQA1_0501__DQB1_0501,0.379
DRA_0101__DRB1_1401,DRA_0101__DRB1_1406,0.173
DQA1_0101__DQB1_0602,DQA1_0301__DQB1_0303,0.434
DRA_0101__DRB1_0403,DRA_0101__DRB1_0801,0.341
C__03_03,C__12_03,0.313
DRA_0101__DRB1_1104,DRA_0101__DRB1_1501,0.261
DQA1_0101__DQB1_0503,DQA1_0201__DQB1_0202,0.4
DQA1_0103__DQB1_0603,DQA1_0201__DQB1_0303,0.332
B__07_02,C__12_03,0.583
DQA1_0103__DQB1_0603,DQA1_0503__DQB1_0301,0.429
A__01_01,C__17_01,0.605
DRA_0101__DRB1_0411,DRA_0101__DRB1_1401,0.3
DRA_0101__DRB1_0407,DRA_0101__DRB1_1103,0.407
DRA_0101__DRB1_1202,DRA_0101__DRB1_1302,0.126
DRA_0101__DRB1_0401,DRA_0101__DRB1_0403,0.077
DQA1_0102__DQB1_0609,DQA1_0301__DQB1_0502,0.431
B__35_03,C__06_02,0.512
DQA1_0101__DQB1_0201,DQA1_0601__DQB1_0301,0.361
DQA1_0102__DQB1_0604,DQA1_0201__DQB1_0302,0.363
A__01_01,B__57_01,0.402
DQA1_0102__DQB1_0602,DQA1_0201__DQB1_0302,0.329
C__03_06,C__07_02,0.42
DQA1_0302__DQB1_0301,DQA1_0601__DQB1_0301,0.219
DRA_0101__DRB1_1101,DRA_0101__DRB1_1301,0.155
B__44_04,C__08_01,0.597
A__68_02,B__15_08,0.492
DQA1_0101__DQB1_0503,DQA1_0301__DQB1_0301,0.42
B__07_02,B__51_01,0.346
B__08_01,B__39_05,0.276
A__30_02,C__05_01,0.728
DQA1_0103__DQB1_0601,DQA1_0201__DQB1_0303,0.355
DRA_0101__DRB1_1001,DRA_0101__DRB1_1303,0.344
DRA_0101__DRB1_0101,DRA_0101__DRB1_0411,0.245
DRA_0101__DRB1_1302,DRA_0101__DRB1_1407,0.31
DQA1_0101__DQB1_0501,DQA1_0301__DQB1_0502,0.377
DQA1_0102__DQB1_0602,DQA1_0505__DQB1_0301,0.424
A__23_01,B__14_02,0.427
A__01_01,A__34_01,0.297
DRA_0101__DRB1_0101,DRA_0101__DRB1_1601,0.228
DRA_0101__DRB1_1302,DRA_0101__DRB1_1401,0.31
DRA_0101__DRB1_0301,DRA_0101__DRB1_1001,0.241
DRA_0101__DRB1_0101,DRA_0101__DRB1_1303,0.219
DQA1_0102__DQB1_0602,DQA1_0301__DQB1_0303,0.431
A__29_02,A__31_01,0.167
DQA1_0101__DQB1_0501,DQA1_0301__DQB1_0301,0.449
DRA_0101__DRB1_0102,DRA_0101__DRB1_1402,0.179
DRA_0101__DRB1_1101,DRA_0101__DRB1_1201,0.19
DRA_0101__DRB1_0407,DRA_0101__DRB1_0801,0.344
B__15_16,C__15_02,0.529
DQA1_0101__DQB1_0502,DQA1_0601__DQB1_0301,0.402
A__33_01,B__52_01,0.361
DQA1_0201__DQB1_0302,DQA1_0601__DQB1_0301,0.286
DQA1_0102__DQB1_0502,DQA1_0301__DQB1_0301,0.449
C__12_03,C__14_02,0.126
DRA_0101__DRB1_0401,DRA_0101__DRB1_1103,0.358
DQA1_0201__DQB1_0202,DQA1_0301__DQB1_0301,0.352
DRA_0101__DRB1_0403,DRA_0101__DRB1_0803,0.344
DQA1_0102__DQB1_0502,DQA1_0401__DQB1_0402,0.477
A__23_01,A__68_02,0.52
DRA_0101__DRB1_0407,DRA_0101__DRB1_1202,0.344
B__37_01,C__07_01,0.518
DQA1_0101__DQB1_0503,DQA1_0103__DQB1_0603,0.155
DQA1_0101__DQB1_0501,DQA1_0501__DQB1_0301,0.429
DRA_0101__DRB1_0803,DRA_0101__DRB1_1103,0.228
DQA1_0101__DQB1_0602,DQA1_0301__DQB1_0502,0.429
B__15_03,B__40_02,0.319
DRA_0101__DRB1_0901,DRA_0101__DRB1_1407,0.405
DQA1_0101__DQB1_0201,DQA1_0301__DQB1_0301,0.417
B__44_05,C__12_02,0.548
A__30_02,C__03_06,0.621
DQA1_0102__DQB1_0609,DQA1_0401__DQB1_0402,0.527
DRA_0101__DRB1_0407,DRA_0101__DRB1_0901,0.283
DQA1_0103__DQB1_0601,DQA1_0301__DQB1_0502,0.438
DRA_0101__DRB1_0901,DRA_0101__DRB1_1201,0.527
A__29_01,A__32_01,0.245
DRA_0101__DRB1_1201,DRA_0101__DRB1_1406,0.148
B__27_02,C__01_02,0.699
DQA1_0103__DQB1_0601,DQA1_0601__DQB1_0301,0.358
DRA_0101__DRB1_0401,DRA_0101__DRB1_0408,0.077
DQA1_0101__DQB1_0503,DQA1_0301__DQB1_0502,0.379
DQA1_0102__DQB1_0302,DQA1_0501__DQB1_0202,0.371
DRA_0101__DRB1_0404,DRA_0101__DRB1_0411,0.089
DQA1_0102__DQB1_0609,DQA1_0501__DQB1_0301,0.458
DRA_0101__DRB1_1101,DRA_0101__DRB1_1601,0.279
DQA1_0401__DQB1_0402,DQA1_0601__DQB1_0301,0.4
DRA_0101__DRB1_0803,DRA_0101__DRB1_1201,0.118
A__68_01,B__35_02,0.42
B__15_16,C__01_02,0.508
B__35_01,C__12_02,0.454
B__07_02,B__39_05,0.369
C__15_05,C__17_01,0.412
DRA_0101__DRB1_0102,DRA_0101__DRB1_0103,0.257
DRA_0101__DRB1_0301,DRA_0101__DRB1_1104,0.241
DRA_0101__DRB1_0701,DRA_0101__DRB1_1501,0.352
DQA1_0101__DQB1_0602,DQA1_0102__DQB1_0502,0.195
DRA_0101__DRB1_0701,DRA_0101__DRB1_0803,0.338
DQA1_0301__DQB1_0301,DQA1_0601__DQB1_0301,0.21
DQA1_0302__DQB1_0301,DQA1_0501__DQB1_0202,0.436
A__29_02,B__07_02,0.449
DRA_0101__DRB1_0401,DRA_0101__DRB1_0901,0.341
A__03_01,A__24_02,0.276
A__74_03,C__01_02,0.593
DQA1_0201__DQB1_0303,DQA1_0503__DQB1_0301,0.405
DRA_0101__DRB1_1101,DRA_0101__DRB1_1401,0.319
DQA1_0102__DQB1_0609,DQA1_0103__DQB1_0601,0.237
A__29_01,B__41_02,0.449
DQA1_0102__DQB1_0604,DQA1_0301__DQB1_0303,0.467
A__29_02,B__18_01,0.412
DQA1_0102__DQB1_0302,DQA1_0301__DQB1_0301,0.385
DQA1_0201__DQB1_0302,DQA1_0501__DQB1_0501,0.436
B__35_02,B__51_01,0.161
B__27_02,B__35_03,0.422
DRA_0101__DRB1_0408,DRA_0101__DRB1_0411,0.089
DRA_0101__DRB1_0801,DRA_0101__DRB1_0901,0.525
DRA_0101__DRB1_1201,DRA_0101__DRB1_1407,0.241
DRA_0101__DRB1_0407,DRA_0101__DRB1_1402,0.307
B__27_02,C__07_01,0.59
DQA1_0102__DQB1_0609,DQA1_0301__DQB1_0302,0.44
DRA_0101__DRB1_0401,DRA_0101__DRB1_0407,0.077
DRA_0101__DRB1_1402,DRA_0101__DRB1_1406,0.0
DQA1_0401__DQB1_0402,DQA1_0501__DQB1_0301,0.498
DRA_0101__DRB1_0103,DRA_0101__DRB1_0401,0.326
B__27_06,C__01_02,0.713
DQA1_0103__DQB1_0601,DQA1_0301__DQB1_0301,0.417
B__35_03,B__35_08,0.11
A__02_01,B__39_05,0.412
DQA1_0201__DQB1_0202,DQA1_0501__DQB1_0501,0.51
DRA_0101__DRB1_1001,DRA_0101__DRB1_1104,0.405
DQA1_0102__DQB1_0502,DQA1_0201__DQB1_0303,0.358
A__30_01,B__57_01,0.385
DQA1_0101__DQB1_0201,DQA1_0201__DQB1_0303,0.366
DRA_0101__DRB1_0101,DRA_0101__DRB1_0801,0.232
DQA1_0101__DQB1_0502,DQA1_0103__DQB1_0601,0.214
DRA_0101__DRB1_0802,DRA_0101__DRB1_1502,0.219
DRA_0101__DRB1_0407,DRA_0101__DRB1_1501,0.316
DQA1_0102__DQB1_0502,DQA1_0501__DQB1_0301,0.424
DRA_0101__DRB1_0408,DRA_0101__DRB1_1104,0.39
A__29_01,C__07_02,0.456
C__03_04,C__15_02,0.341
DRA_0101__DRB1_0407,DRA_0101__DRB1_1303,0.344
DRA_0101__DRB1_0901,DRA_0101__DRB1_1001,0.397
DQA1_0101__DQB1_0201,DQA1_0505__DQB1_0301,0.377
DQA1_0501__DQB1_0201,DQA1_0505__DQB1_0301,0.257
DQA1_0101__DQB1_0503,DQA1_0503__DQB1_0301,0.402
DRA_0101__DRB1_0411,DRA_0101__DRB1_0701,0.249
DQA1_0101__DQB1_0201,DQA1_0103__DQB1_0601,0.361
A__68_02,C__14_02,0.523
B__35_01,C__03_04,0.504
DRA_0101__DRB1_0101,DRA_0101__DRB1_0103,0.257
DQA1_0103__DQB1_0603,DQA1_0301__DQB1_0502,0.42
B__35_03,C__16_01,0.46
DQA1_0501__DQB1_0301,DQA1_0601__DQB1_0301,0.268
DQA1_0302__DQB1_0301,DQA1_0501__DQB1_0301,0.349
B__15_03,C__08_01,0.58
A__68_02,B__55_01,0.436
DRA_0101__DRB1_0407,DRA_0101__DRB1_1301,0.377
DRA_0101__DRB1_1406,DRA_0101__DRB1_1407,0.173
B__40_01,C__08_01,0.665
DQA1_0102__DQB1_0302,DQA1_0301__DQB1_0502,0.407
B__07_05,C__01_02,0.56
