hla1,hla2,sim
DQA1_0401__DQB1_0402,DQA1_0503__DQB1_0301,0.5
DRA_0101__DRB1_0408,DRA_0101__DRB1_0801,0.344
DRA_0101__DRB1_0411,DRA_0101__DRB1_1406,0.332
A__23_01,C__07_04,0.659
A__23_01,B__35_01,0.447
C__07_02,C__07_04,0.272
DQA1_0102__DQB1_0502,DQA1_0102__DQB1_0602,0.2
B__27_02,B__37_01,0.3
DQA1_0503__DQB1_0301,DQA1_0505__DQB1_0301,0.0
A__24_03,A__33_01,0.537
DRA_0101__DRB1_0801,DRA_0101__DRB1_1501,0.214
B__41_02,B__44_04,0.276
DRA_0101__DRB1_0701,DRA_0101__DRB1_1301,0.341
DQA1_0102__DQB1_0502,DQA1_0505__DQB1_0301,0.424
DRA_0101__DRB1_0407,DRA_0101__DRB1_1407,0.31
B__39_05,B__44_05,0.3
DRA_0101__DRB1_1201,DRA_0101__DRB1_1401,0.241
DQA1_0101__DQB1_0503,DQA1_0401__DQB1_0402,0.445
DQA1_0401__DQB1_0402,DQA1_0501__DQB1_0501,0.504
DRA_0101__DRB1_0411,DRA_0101__DRB1_1601,0.341
DRA_0101__DRB1_0411,DRA_0101__DRB1_0901,0.245
DRA_0101__DRB1_0401,DRA_0101__DRB1_0701,0.179
DQA1_0301__DQB1_0302,DQA1_0501__DQB1_0202,0.424
A__74_03,B__13_02,0.392
DQA1_0505__DQB1_0301,DQA1_0601__DQB1_0301,0.268
B__51_01,B__52_01,0.11
DRA_0101__DRB1_0408,DRA_0101__DRB1_1202,0.346
C__07_02,C__15_02,0.297
DQA1_0101__DQB1_0503,DQA1_0505__DQB1_0301,0.4
A__02_01,C__12_02,0.506
B__27_06,C__15_02,0.632
DRA_0101__DRB1_0103,DRA_0101__DRB1_0407,0.379
DRA_0101__DRB1_0401,DRA_0101__DRB1_0404,0.077
DQA1_0201__DQB1_0202,DQA1_0601__DQB1_0301,0.322
A__01_01,A__74_01,0.355
DRA_0101__DRB1_0101,DRA_0101__DRB1_1202,0.224
DQA1_0101__DQB1_0501,DQA1_0601__DQB1_0301,0.402
A__25_01,B__44_03,0.516
A__24_02,B__15_01,0.504
DQA1_0102__DQB1_0302,DQA1_0102__DQB1_0502,0.21
DRA_0101__DRB1_1103,DRA_0101__DRB1_1301,0.141
DQA1_0101__DQB1_0201,DQA1_0102__DQB1_0609,0.341
DQA1_0101__DQB1_0501,DQA1_0201__DQB1_0202,0.417
DRA_0101__DRB1_0102,DRA_0101__DRB1_0901,0.417
DRA_0101__DRB1_1104,DRA_0101__DRB1_1301,0.155
DQA1_0401__DQB1_0402,DQA1_0501__DQB1_0201,0.595
DQA1_0102__DQB1_0302,DQA1_0302__DQB1_0301,0.387
DRA_0101__DRB1_0103,DRA_0101__DRB1_1103,0.232
DRA_0101__DRB1_0401,DRA_0101__DRB1_0802,0.316
A__31_01,A__74_01,0.173
B__07_02,C__03_04,0.686
